x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
0.021,1.285879e-18,1.132538,1.132538,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,60564.86000000001,120780.10000000002,1.99422731276474
0.021,1.285879e-18,1.314356,1.314356,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,61026.12,122585.3,2.0087349153324032
0.021,1.285879e-18,1.496175,1.496175,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,61487.38,124390.39999999998,2.0230232281319642
0.021,1.285879e-18,1.677993,1.677993,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62178.670000000006,125619.7,2.020302106489217
0.021,1.285879e-18,1.859811,1.859811,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62570.76,127322.8,2.0348609792359724
0.021,1.285879e-18,2.041629,2.041629,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62962.84,129025.89999999998,2.0492388518491405
0.021,1.285879e-18,2.223447,2.223447,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,61628.94,130729.0,2.1212274278735377
0.021,1.285879e-18,2.405265,2.405265,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62006.69999999999,130490.5,2.1044580326890805
0.021,1.285879e-18,2.587084,2.587084,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62384.44999999999,132042.2,2.11658831461064
0.021,1.285879e-18,2.768902,2.768902,a9.3.a0.spacedModule.6457,a9.3.a0.spacedModule.2310,62350.71,133593.8,2.142618710474689
